City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Inhambane,MZ,-23.86,35.38,65.77,78,89,5.88,overcast clouds
202,Katsuura,JP,35.13,140.3,71.01,94,40,1.12,mist
203,Clyde River,CA,70.47,-68.59,32.0,97,90,5.82,overcast clouds
204,Itoman,JP,26.12,127.67,77.0,65,20,8.05,few clouds
205,Kahului,US,20.89,-156.47,91.4,49,40,18.34,scattered clouds
206,Hagere Hiywet,ET,8.98,37.85,53.69,71,28,3.89,scattered clouds
207,Ribeira Grande,PT,38.52,-28.7,69.01,70,13,11.72,few clouds
208,Pangnirtung,CA,66.15,-65.71,33.8,64,40,10.29,scattered clouds
209,Los Llanos De Aridane,ES,28.66,-17.92,77.0,47,95,11.41,overcast clouds
210,Cap Malheureux,MU,-19.98,57.61,71.6,94,40,6.93,shower rain
211,Killybegs,IE,54.63,-8.45,48.0,92,91,1.99,light rain
212,Primorsk,UA,46.73,36.34,62.2,81,80,10.36,broken clouds
213,Marovoay,MG,-16.1,46.63,78.8,78,40,3.36,thunderstorm
214,Souillac,MU,-20.52,57.52,71.6,94,40,6.93,shower rain
215,Ancud,CL,-41.87,-73.82,55.4,66,57,5.82,broken clouds
216,Lompoc,US,34.64,-120.46,95.0,35,1,14.99,clear sky
217,Nurota,UZ,40.56,65.69,42.8,30,0,4.7,clear sky
218,Hamilton,US,39.18,-84.53,73.99,69,90,6.93,overcast clouds
219,Vikhorevka,RU,56.12,101.16,21.2,73,6,2.24,clear sky
220,Port Elizabeth,ZA,-33.92,25.57,51.8,87,60,5.82,broken clouds
221,Ballina,AU,-28.87,153.57,69.8,68,13,6.93,few clouds
222,Nazarovo,RU,56.01,90.39,36.5,96,100,11.18,light rain
223,Batagay,RU,67.63,134.63,16.59,94,99,4.63,light snow
224,Port Hardy,CA,50.7,-127.42,51.8,87,75,8.05,broken clouds
225,Atuona,PF,-9.8,-139.03,78.51,72,49,14.03,scattered clouds
226,Qasigiannguit,GL,68.82,-51.19,33.8,74,100,4.7,overcast clouds
227,Mayo,US,38.89,-76.51,61.0,100,90,8.05,mist
228,Kyren,RU,51.68,102.14,22.44,76,0,0.92,clear sky
229,Tautira,PF,-17.73,-149.15,78.8,65,75,23.04,shower rain
230,Codrington,AU,-38.27,141.97,54.0,86,100,10.92,overcast clouds
231,Harper,LR,4.38,-7.72,77.0,87,98,6.69,light rain
232,Balabac,PH,7.99,117.06,82.45,78,100,7.67,light rain
233,Sitka,US,57.05,-135.33,48.2,81,90,8.05,light rain
234,Iracoubo,GF,5.48,-53.2,81.61,76,33,11.65,scattered clouds
235,Carauari,BR,-4.88,-66.9,73.38,94,88,0.69,moderate rain
236,Cidreira,BR,-30.18,-50.21,65.21,81,22,7.74,few clouds
237,Tateyama,JP,34.98,139.87,71.01,94,40,1.12,mist
238,Caucaia,BR,-3.74,-38.65,80.6,74,1,6.93,clear sky
239,San Carlos,VE,9.66,-68.58,76.26,88,94,3.15,overcast clouds
240,Bilibino,RU,68.05,166.44,20.46,82,5,1.16,clear sky
241,Uige,AO,-7.61,15.06,67.66,85,75,2.84,light rain
242,Mocuba,MZ,-16.84,36.99,69.33,89,66,2.91,broken clouds
243,Majene,ID,-3.54,118.97,79.66,79,77,8.97,broken clouds
244,Talcahuano,CL,-36.72,-73.12,60.8,59,0,19.46,clear sky
245,Te Anau,NZ,-45.42,167.72,51.3,77,48,6.13,scattered clouds
246,Atar,MR,20.52,-13.05,90.12,36,4,11.41,light rain
247,Gangakher,IN,18.95,76.75,73.0,91,89,3.09,overcast clouds
248,Ust-Kuyga,RU,70.02,135.6,11.26,93,30,4.63,scattered clouds
249,East London,ZA,-33.02,27.91,60.58,65,30,5.57,scattered clouds
250,Paita,PE,-5.09,-81.11,64.99,83,25,14.0,scattered clouds
251,Likasi,CD,-10.98,26.73,65.05,93,100,1.3,light rain
252,Moerai,PF,-22.43,-151.33,76.57,82,18,15.3,light rain
253,Anadyr,RU,64.75,177.48,26.6,86,40,6.71,scattered clouds
254,Bonthe,SL,7.53,-12.51,78.17,86,100,6.06,moderate rain
255,Port-Gentil,GA,-0.72,8.78,78.8,83,40,12.75,scattered clouds
256,Kholodnyy,RU,62.72,147.95,34.21,88,100,2.77,overcast clouds
257,Gao,ML,16.64,1.64,92.68,17,0,7.16,clear sky
258,Faya,SA,18.39,42.45,64.4,67,0,2.95,clear sky
259,Ondjiva,AO,-17.07,15.73,72.99,18,0,11.68,clear sky
260,Briancon,FR,44.9,6.65,48.0,36,27,1.99,scattered clouds
261,Tezu,IN,27.92,96.17,73.6,65,1,3.09,clear sky
262,Necochea,AR,-38.55,-58.74,46.99,94,21,1.01,light rain
263,Mogadishu,SO,2.04,45.34,78.37,82,23,8.72,few clouds
264,Pisco,PE,-13.7,-76.22,68.0,68,7,14.99,clear sky
265,Vardo,NO,70.37,31.11,33.8,100,75,9.17,broken clouds
266,San Cristobal,VE,7.77,-72.22,87.8,40,40,14.99,scattered clouds
